peak_id,peak_name,height_metres,climbing_status,first_ascent_year,first_ascent_country,first_ascent_expedition_id,coord,news
PUTH,Putha Hiunchuli,7246,Climbed,1954.0,UK,PUTH54301,"(None, None)",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
PYRM,Pyramid Peak,7140,Climbed,1993.0,Japan,PYRM93101,"('27.8973138', '86.7793702')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
RAKS,Raksha Urai,6609,Climbed,2003.0,France,RAKS03301,"('27.7914626', '88.1971372')",https://www.24heures.ch/a-chartres-la-manif-de-ceux-qui-nont-pas-lhabitude-de-manifester-339240566819
RAMD,Ramdung,5900,Climbed,1952.0,UK,RAMD52301,"('27.7898577', '86.785298')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
RATH,Rathong,6682,Climbed,1964.0,India,RATH64301,"(None, None)",https://www.theguardian.com/sport/2023/feb/11/cricket-india-australia-first-test-nagpur-ravichandran-ashwin-ravindra-jadeja
ROCN,Roc Noir,7485,Climbed,1969.0,W Germany,ROCN69101,"('60.2625935', '24.8537182')",https://www.thestar.com/sports/soccer/2023/02/08/reus-fires-dortmund-into-german-cup-qfs-with-win-in-bochum.html
ROKA,Rokapi,6468,Climbed,1977.0,UK,ROKA77301,"('27.6548025', '88.1301939')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
SAIE,Saipal East Humla,6925,Climbed,1990.0,Switzerland,SAIP90301,"('8.783333', '12.416667')",https://www.swissinfo.ch/eng/putin-opponent-mikhail-khodorkovsky-is-planning-for-a-change-of-guard-in-the-kremlin/48278272
SAIP,Saipal,7030,Climbed,1963.0,Japan,SAIP63301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
SHA2,Shartse II,7457,Climbed,1974.0,Austria,SHA274101,"('28.7108973', '83.6452283')",https://www.guelphtoday.com/national-sports/canadas-cynthia-appiah-claims-monobob-bronze-at-world-cup-stop-in-austria-6528257
SHEY,Shey Shikhar,6139,Climbed,2007.0,Japan,SHEY07201,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
SING,Singu Chuli,6501,Climbed,1957.0,UK,SING57101,"('28.6891711', '83.379961')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
SISN,Sisne Himal,5911,Climbed,2013.0,Nepal,SISN13101,"(None, None)",https://www.reuters.com/lifestyle/stars-align-prabal-gurungs-new-york-fashion-week-runway-show-2023-02-11/
SITA,Sita Chuchura,6611,Climbed,1970.0,Japan,SITA70301,"('28.0729512', '86.6124231')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
SPHN,Sphinx,6825,Climbed,1936.0,UK,SPHN36101,"('29.75565275', '82.69869791991958')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
SPH1,Sharphu I,6433,Climbed,1963.0,Japan,SPH163301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
TAWO,Tawoche,6495,Climbed,1974.0,France,TAWO74101,"(None, None)",https://www.24heures.ch/a-chartres-la-manif-de-ceux-qui-nont-pas-lhabitude-de-manifester-339240566819
KIRA,Kirat Chuli,7362,Climbed,1939.0,Switzerland,KIRA39101,"(None, None)",https://www.swissinfo.ch/eng/putin-opponent-mikhail-khodorkovsky-is-planning-for-a-change-of-guard-in-the-kremlin/48278272
THAM,Thamserku,6618,Climbed,1964.0,New Zealand,THAM64301,"(None, None)",https://simpleflying.com/airbus-air-new-zealand-hydrogen-hub/
THAR,Tharpu Chuli,5695,Climbed,1964.0,Japan,THAR64301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
TILI,Tilicho,7134,Climbed,1978.0,France,TILI78301,"(None, None)",https://www.24heures.ch/a-chartres-la-manif-de-ceux-qui-nont-pas-lhabitude-de-manifester-339240566819
TLNG,Talung,7349,Climbed,1964.0,W Germany,TLNG64101,"(None, None)",https://www.thestar.com/sports/soccer/2023/02/08/reus-fires-dortmund-into-german-cup-qfs-with-win-in-bochum.html
TONG,Tongu,6187,Climbed,1959.0,USA,TONG59301,"(None, None)",https://www.stern.de/sport/weltcup-in-den-usa--wellinger-beschert-skispringern-ersten-sieg-33188270.html
TRIP,Tripura Hiunchuli,6553,Climbed,1986.0,Japan,TRIP86301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
TSOK,Tso Karpo Kang,6556,Climbed,1971.0,Japan,TSOK71301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
TUKU,Tukuche,6920,Climbed,1970.0,Japan,TUKU70101,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
URKM,Urkinmang,6143,Climbed,1964.0,Japan,URKM64101,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
TSUR,Tsaurabong Peak,6395,Climbed,1974.0,Japan,TSUR74101,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
YALU,Yalung Kang,8505,Climbed,1973.0,Japan,YALU73101,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
PASA,Pasang Lhamu Chuli,7350,Climbed,1986.0,Japan,PASA86301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
RATC,Ratna Chuli,7035,Climbed,1996.0,Japan,RATC96301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
KANT,Kanti Himal,6850,Climbed,2002.0,Japan,KANT02301,"('29.0458971', '84.1879231')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
RAMT,Ramtang,6601,Climbed,1930.0,Austria,RAMT30101,"('27.8041816', '86.5953665')",https://www.guelphtoday.com/national-sports/canadas-cynthia-appiah-claims-monobob-bronze-at-world-cup-stop-in-austria-6528257
LING,Lingtren,6713,Climbed,1935.0,UK,LING35201,"(None, None)",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
TENG,Tengkoma,6215,Climbed,1949.0,Switzerland,TENG49101,"('28.885', '84.1719123')",https://www.swissinfo.ch/eng/putin-opponent-mikhail-khodorkovsky-is-planning-for-a-change-of-guard-in-the-kremlin/48278272
RAMC,Ramtang Chang,6802,Climbed,1974.0,Yugoslavia,RAMC74301,"('28.2477839', '85.4711879')",https://variety.com/2023/film/global/beta-cinema-operation-napoleon-iain-glen-olafur-darri-olafsson-1235510212/
CHRE,Churen Himal East,7371,Climbed,1970.0,S Korea,CHRE70101,"('27.6875828', '86.9024898')",https://www.livemint.com/news/world/kim-jong-un-shows-off-daughter-missiles-at-n-korean-parade-11676099061735.html
CHRW,Churen Himal West,7371,Climbed,1970.0,Japan,CHRW70301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
CHRI,Chhukung Ri,5550,Climbed,1965.0,Netherlands,CHRI65101,"(None, None)",https://www.cp24.com/news/ottawa-spending-2m-on-new-unmarked-graves-report-lacks-transparency-official-1.6268898
KTOK,Kangtokal,6294,Climbed,1962.0,Japan,KTOK62101,"('27.9262151', '87.0543761')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
SRKU,Serku Dolma,6227,Climbed,1973.0,Japan,SRKU73301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
NALS,Nalakankar South,6024,Climbed,2000.0,Japan,NALS00201,"('27.7743642', '86.9080353')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
CHWT,Changwathang,6130,Climbed,2000.0,Japan,CHWT00201,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
TAKP,Takphu Himal,6395,Climbed,2018.0,UK,TAKP18301,"('30.6824948', '78.588251')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
MALA,Malanphulan,6573,Climbed,2000.0,USA,MALA00101,"('13.223166', '14.932821')",https://www.stern.de/sport/weltcup-in-den-usa--wellinger-beschert-skispringern-ersten-sieg-33188270.html
LHOM,Lhotse Middle,8410,Climbed,2001.0,Russia,LHOM01101,"(None, None)",https://www.otempo.com.br/politica/governo/macron-a-lula-sobre-plano-de-paz-na-guerra-da-ucrania-vamos-juntos-1.2812440
SIMN,Simnang Himal,6251,Climbed,2001.0,Ukraine,SIMN01101,"('28.0729512', '86.6124231')",https://www.lapresse.ca/international/europe/2023-02-11/le-dirigeant-du-groupe-wagner-estime-que-la-guerre-en-ukraine-pourrait-durer-plusieurs-annees.php
HCHI,Hungchhi,7029,Climbed,2003.0,Japan,HCHI03102,"('28.8547343', '119.4039832')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
CHUK,Chhukung Tse,5833,Climbed,1953.0,UK,CHUK53101,"('27.7548759', '86.8223253')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
DZAN,Dzanye,6581,Climbed,1949.0,Switzerland,DZAN49101,"('47.4878529', '3.9072438')",https://www.swissinfo.ch/eng/putin-opponent-mikhail-khodorkovsky-is-planning-for-a-change-of-guard-in-the-kremlin/48278272
GAUG,Gaugiri,6110,Climbed,2002.0,USA,GAUG02101,"(None, None)",https://www.stern.de/sport/weltcup-in-den-usa--wellinger-beschert-skispringern-ersten-sieg-33188270.html
TKPO,Tengkangpoche,6482,Climbed,1984.0,UK,TKPO84301,"(None, None)",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
ARNK,Arniko Chuli,6034,Climbed,2002.0,Japan,ARNK02201,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
SARI,Saribung,6328,Climbed,2003.0,USA,SARI03301,"(None, None)",https://www.stern.de/sport/weltcup-in-den-usa--wellinger-beschert-skispringern-ersten-sieg-33188270.html
GHEN,Ghenge Liru,6596,Climbed,1963.0,UK,GHEN63101,"('28.2709798', '85.6304978')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
NAUL,Naulekh,6340,Climbed,1954.0,New Zealand,NAUL54101,"('27.6204953', '88.0063936')",https://simpleflying.com/airbus-air-new-zealand-hydrogen-hub/
CHEK,Chekigo,6121,Climbed,2005.0,UK,CHEK05101,"('46.846394', '25.104374')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
KTUN,Khatung Khang,6484,Climbed,1956.0,Switzerland,KTUN56101,"('27.648982', '85.07013194042928')",https://www.swissinfo.ch/eng/putin-opponent-mikhail-khodorkovsky-is-planning-for-a-change-of-guard-in-the-kremlin/48278272
CHAG,Chago,6893,Climbed,1954.0,New Zealand,CHAG54101,"(None, None)",https://simpleflying.com/airbus-air-new-zealand-hydrogen-hub/
NUMR,Numri,6635,Climbed,2002.0,Germany,NUMR02301,"(None, None)",https://www.guelphtoday.com/national-sports/canadas-cynthia-appiah-claims-monobob-bronze-at-world-cup-stop-in-austria-6528257
PK41,Peak 41,6648,Climbed,2002.0,Slovenia,PK4102301,"(None, None)",https://www.gazzetta.it/montagna/07-02-2023/slovenia-piste-da-sci-imperdibili-ecco-dove-praticare-sport-sulla-neve.shtml
KYAZ,Kyazo Ri,6151,Climbed,2002.0,UK,KYAZ02301,"('-20.4289101', '32.6809123')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
PAND,Pandra,6670,Climbed,2002.0,Denmark,PAND02301,"('46.44949325', '4.123719545969291')",https://techcrunch.com/2023/02/09/lunar-the-danish-neobank-last-year-valued-at-2-2b-raises-38m-to-shoot-for-the-profitability-moon/
DANG,Danga,6220,Climbed,2002.0,Denmark,DANG02301,"('27.5991207', '86.9088123')",https://techcrunch.com/2023/02/09/lunar-the-danish-neobank-last-year-valued-at-2-2b-raises-38m-to-shoot-for-the-profitability-moon/
POKR,Pokharkang,6372,Climbed,2002.0,UK,POKR02301,"(None, None)",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
NAG1,Nangpai Gosum I,7321,Climbed,2017.0,Germany,NAG117301,"(None, None)",https://www.guelphtoday.com/national-sports/canadas-cynthia-appiah-claims-monobob-bronze-at-world-cup-stop-in-austria-6528257
TASH,Tashi Kang,6386,Climbed,2002.0,Japan,TASH02201,"('26.1999813', '91.9775417')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
TENR,Tengi Ragi Tau,6938,Climbed,2002.0,Japan,TENR02401,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
KYAS,Kyashar,6770,Climbed,2003.0,UK,KYAS03301,"(None, None)",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
NORB,Norbu Kang,6085,Climbed,2003.0,Japan,NORB03201,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
LNKE,Lunchhung Kamo East,6024,Climbed,1999.0,Japan,LNKE99201,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
LIK1,Linkhu Chuli Shar,6719,Climbed,2013.0,Germany,LIK113301,"(None, None)",https://www.guelphtoday.com/national-sports/canadas-cynthia-appiah-claims-monobob-bronze-at-world-cup-stop-in-austria-6528257
LIK2,Linkhu Chuli Nup,6659,Climbed,1960.0,France,LIK260301,"(None, None)",https://www.24heures.ch/a-chartres-la-manif-de-ceux-qui-nont-pas-lhabitude-de-manifester-339240566819
PANT,Panalotapa,6687,Climbed,1955.0,UK,PANT55101,"('28.2968281', '85.6677275')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
SHAL,Shalbachum,6707,Climbed,1959.0,Japan,SHAL59301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
BOKT,Boktoh,6114,Climbed,1991.0,Yugoslavia,BOKT91101,"(None, None)",https://variety.com/2023/film/global/beta-cinema-operation-napoleon-iain-glen-olafur-darri-olafsson-1235510212/
MOJC,Mojca,6024,Climbed,1974.0,Yugoslavia,MOJC74301,"(None, None)",https://variety.com/2023/film/global/beta-cinema-operation-napoleon-iain-glen-olafur-darri-olafsson-1235510212/
PLNG,Palung,7012,Climbed,1952.0,New Zealand,PLNG52101,"(None, None)",https://simpleflying.com/airbus-air-new-zealand-hydrogen-hub/
NUPE,Nuptse East I,7795,Climbed,2003.0,Russia,NUPE03301,"('27.8369772', '87.1407882')",https://www.otempo.com.br/politica/governo/macron-a-lula-sobre-plano-de-paz-na-guerra-da-ucrania-vamos-juntos-1.2812440
HIMJ,Himjung,7092,Climbed,2012.0,S Korea,HIMJ12301,"('28.6364017', '84.6946649')",https://www.livemint.com/news/world/kim-jong-un-shows-off-daughter-missiles-at-n-korean-parade-11676099061735.html
AMPH,Amphu I,6740,Climbed,2013.0,S Korea,AMPH13301,"(None, None)",https://www.livemint.com/news/world/kim-jong-un-shows-off-daughter-missiles-at-n-korean-parade-11676099061735.html
CHAK,Chako,6704,Climbed,2007.0,Japan,CHAK07201,"('58.6442634', '-134.591263')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
DOMK,Dome Kang,7264,Climbed,2009.0,Spain,DOMK09101,"('28.0434251', '86.5664238')",https://www.liverpoolecho.co.uk/news/uk-world-news/spain-turkey-france-update-travel-26210245
HUNK,Hunku,6119,Climbed,2012.0,UK,HUNK12302,"('66.91177635', '13.353994728163736')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
JANK,Janak Chuli,7041,Climbed,2006.0,Slovenia,JANK06101,"(None, None)",https://www.gazzetta.it/montagna/07-02-2023/slovenia-piste-da-sci-imperdibili-ecco-dove-praticare-sport-sulla-neve.shtml
KABS,Kabru South,7318,Climbed,1994.0,India,KABS94101,"('29.6720812', '83.0083371')",https://www.theguardian.com/sport/2023/feb/11/cricket-india-australia-first-test-nagpur-ravichandran-ashwin-ravindra-jadeja
KABR,Kabru Main,7412,Climbed,1994.0,India,KABR94101,"(None, None)",https://www.theguardian.com/sport/2023/feb/11/cricket-india-australia-first-test-nagpur-ravichandran-ashwin-ravindra-jadeja
LASH,Lashar I,6842,Climbed,2005.0,Slovenia,LASH05301,"('28.7819689', '83.9268777')",https://www.gazzetta.it/montagna/07-02-2023/slovenia-piste-da-sci-imperdibili-ecco-dove-praticare-sport-sulla-neve.shtml
NANG,Nangamari I,6547,Climbed,2010.0,Australia,NANG10301,"('47.4115613', '2.9273937')",https://www.theguardian.com/sport/2023/feb/11/cricket-india-australia-first-test-nagpur-ravichandran-ashwin-ravindra-jadeja
PANB,Panbari,6905,Climbed,2006.0,Japan,PANB06301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
PHNH,Phungi Himal,6538,Climbed,2017.0,Russia,PHNH17301,"('28.8905703', '84.2446501')",https://www.otempo.com.br/politica/governo/macron-a-lula-sobre-plano-de-paz-na-guerra-da-ucrania-vamos-juntos-1.2812440
TKRG,Takargo,6771,Climbed,2010.0,USA,TKRG10101,"(None, None)",https://www.stern.de/sport/weltcup-in-den-usa--wellinger-beschert-skispringern-ersten-sieg-33188270.html
THUL,Thulagi,7059,Climbed,2015.0,Russia,THUL15301,"('27.9480862', '86.7227096')",https://www.otempo.com.br/politica/governo/macron-a-lula-sobre-plano-de-paz-na-guerra-da-ucrania-vamos-juntos-1.2812440
JOMS,Jomsom Himal,6335,Climbed,2003.0,France,JOMS03301,"(None, None)",https://www.24heures.ch/a-chartres-la-manif-de-ceux-qui-nont-pas-lhabitude-de-manifester-339240566819
BAMO,Bamongo,6406,Climbed,2013.0,Nepal,BAMO13301,"(None, None)",https://www.reuters.com/lifestyle/stars-align-prabal-gurungs-new-york-fashion-week-runway-show-2023-02-11/
DING,Dingjung North,6249,Climbed,1955.0,UK,DING55101,"(None, None)",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
KNAG,Kang Nagchugo,6737,Climbed,2008.0,USA,KNAG08301,"(None, None)",https://www.stern.de/sport/weltcup-in-den-usa--wellinger-beschert-skispringern-ersten-sieg-33188270.html
KYR1,Kyungka Ri 1,6599,Climbed,2017.0,S Korea,KYR117301,"(None, None)",https://www.livemint.com/news/world/kim-jong-un-shows-off-daughter-missiles-at-n-korean-parade-11676099061735.html
KOJI,Kojichuwa Chuli,6439,Climbed,2010.0,Japan,KOJI10101,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
CHIV,Chhiv Himal,6650,Climbed,2004.0,Japan,CHIV04301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
LMOC,Langmoche Ri,6552,Climbed,2012.0,USA,LMOC12301,"('28.325673', '85.6614726')",https://www.stern.de/sport/weltcup-in-den-usa--wellinger-beschert-skispringern-ersten-sieg-33188270.html
LCHA,Lachama Chuli,6721,Climbed,2007.0,Japan,LCHA07301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
TSAR,Tsartse,6343,Climbed,2018.0,Japan,TSAR18301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
YAKA,Yakawa Kang,6482,Climbed,2010.0,Japan,YAKA10301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
YAUP,Yaupa,6422,Climbed,1989.0,UK,YAUP89301,"('43.1358279', '-89.2762273')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
TILK,Til Kang,6369,Climbed,2018.0,UK,TILK18301,"(None, None)",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
SALW,Saldim West,6388,Climbed,2016.0,Romania,SALW16301,"('22.6854791', '112.220149')",https://www.promotor.ro/stiri-auto/colectionarii-din-romania-aleg-tot-mai-des-masini-din-sua-un-chevrolet-bel-air-tocmai-a-fost-inmatriculat-19145400
SAMD,Samdo,6335,Climbed,2009.0,Japan,SAMD09302,"('28.045283', '86.7490845')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
PURK,Purkhung,6126,Climbed,2004.0,Japan,PURK04201,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
DZAS,Dzasampatse,6295,Climbed,2004.0,Slovenia,DZAS04301,"(None, None)",https://www.gazzetta.it/montagna/07-02-2023/slovenia-piste-da-sci-imperdibili-ecco-dove-praticare-sport-sulla-neve.shtml
MUPK,Mustang Peak,6229,Climbed,2001.0,Japan,MUPK01301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
JOBO,Jobo Rinjang,6778,Climbed,2009.0,USA,JOBO09101,"(None, None)",https://www.stern.de/sport/weltcup-in-den-usa--wellinger-beschert-skispringern-ersten-sieg-33188270.html
KUML,Kumlung,6355,Climbed,2008.0,France,KUML08301,"(None, None)",https://www.24heures.ch/a-chartres-la-manif-de-ceux-qui-nont-pas-lhabitude-de-manifester-339240566819
MERR,Merra,6334,Climbed,2006.0,Denmark,MERR06301,"(None, None)",https://techcrunch.com/2023/02/09/lunar-the-danish-neobank-last-year-valued-at-2-2b-raises-38m-to-shoot-for-the-profitability-moon/
YANK,Yanme Kang,6206,Climbed,2017.0,France,YANK17301,"(None, None)",https://www.24heures.ch/a-chartres-la-manif-de-ceux-qui-nont-pas-lhabitude-de-manifester-339240566819
DANS,Danphe Shail,6103,Climbed,2017.0,France,DANS17301,"(None, None)",https://www.24heures.ch/a-chartres-la-manif-de-ceux-qui-nont-pas-lhabitude-de-manifester-339240566819
PHAR,Pharilapcha,6017,Climbed,2003.0,Nepal,PHAR03101,"(None, None)",https://www.reuters.com/lifestyle/stars-align-prabal-gurungs-new-york-fashion-week-runway-show-2023-02-11/
THOR,Thorong Peak,6144,Climbed,2007.0,Japan,THOR07301,"('27.8720615', '86.9796489')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
CHKA,Chamar Kang,6060,Climbed,2007.0,Japan,CHKA07301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
NUPK,Nupche Kang,6576,Climbed,1964.0,W Germany,NUPK64101,"(None, None)",https://www.thestar.com/sports/soccer/2023/02/08/reus-fires-dortmund-into-german-cup-qfs-with-win-in-bochum.html
KAKU,Kang Kuru,6344,Climbed,2008.0,USA,KAKU08101,"(None, None)",https://www.stern.de/sport/weltcup-in-den-usa--wellinger-beschert-skispringern-ersten-sieg-33188270.html
AMPM,Amphu Middle,6202,Climbed,2008.0,Germany,AMPM08101,"(None, None)",https://www.guelphtoday.com/national-sports/canadas-cynthia-appiah-claims-monobob-bronze-at-world-cup-stop-in-austria-6528257
LUGU,Lugula,6899,Climbed,2010.0,France,LUGU10301,"(None, None)",https://www.24heures.ch/a-chartres-la-manif-de-ceux-qui-nont-pas-lhabitude-de-manifester-339240566819
BHRS,Bhrikuti Shail,6361,Climbed,2005.0,France,BHRS05101,"(None, None)",https://www.24heures.ch/a-chartres-la-manif-de-ceux-qui-nont-pas-lhabitude-de-manifester-339240566819
TOBS,Tobsar,6065,Climbed,2017.0,Nepal,TOBS17301,"(None, None)",https://www.reuters.com/lifestyle/stars-align-prabal-gurungs-new-york-fashion-week-runway-show-2023-02-11/
DINS,Dingjung Ri,6196,Climbed,2008.0,Japan,DINS08101,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
DUDH,Dudh Kundali,6045,Climbed,1953.0,Austria,DUDH53301,"('28.6279873', '84.5435306')",https://www.guelphtoday.com/national-sports/canadas-cynthia-appiah-claims-monobob-bronze-at-world-cup-stop-in-austria-6528257
KAGA,Kanta Gaton,5910,Climbed,2009.0,France,KAGA09201,"(None, None)",https://www.24heures.ch/a-chartres-la-manif-de-ceux-qui-nont-pas-lhabitude-de-manifester-339240566819
KAPT,Kaptang,5965,Climbed,2009.0,Japan,KAPT09201,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
RIPI,Ripimo Shar,6647,Climbed,1952.0,UK,RIPI52101,"('27.675545', '85.3609485')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
TSIS,Tsisima,6196,Climbed,1963.0,Japan,TSIS63101,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
